date,rain_mm
7/1/14,1.495
7/2/14,0
7/3/14,0.79
7/4/14,7.643
7/5/14,5.662
7/6/14,0.012
7/7/14,0.078
7/8/14,4.347
7/9/14,1.987
7/10/14,2.02
7/11/14,0.367
7/12/14,2.725
7/13/14,12.75
7/14/14,8.098
7/15/14,16.065
7/16/14,11.463
7/17/14,6.48
7/18/14,2.468
7/19/14,13.564
7/20/14,0.018
7/21/14,4.031
7/22/14,2.42
7/23/14,18.356
7/24/14,11.349
7/25/14,16.452
7/26/14,17.507
7/27/14,5.161
7/28/14,6.428
7/29/14,5.265
7/30/14,9.838
12/1/14,0
12/2/14,0
12/3/14,0
12/4/14,0
12/5/14,0
12/6/14,0
12/7/14,0.335
12/8/14,0
12/9/14,0
12/10/14,0
12/11/14,0
12/12/14,0
12/13/14,0
12/14/14,0
12/15/14,0.138
12/16/14,0
12/17/14,0
12/18/14,0
12/19/14,0
12/20/14,0
12/21/14,0
12/22/14,0
12/23/14,0
12/24/14,0
12/25/14,0
12/26/14,0
12/27/14,0
12/28/14,0
12/29/14,0
12/30/14,0
4/1/15,0
4/2/15,0
4/3/15,0.003
4/4/15,0
4/5/15,0
4/6/15,0
4/7/15,0
4/8/15,1.408
4/9/15,0
4/10/15,0.032
4/11/15,0.313
4/12/15,0.353
4/13/15,0.872
4/14/15,0
4/15/15,0.003
4/16/15,0
4/17/15,0
4/18/15,0
4/19/15,0
4/20/15,0
4/21/15,0
4/22/15,0
4/23/15,0
4/24/15,0
4/25/15,0
4/26/15,0.011
4/27/15,0
4/28/15,0
4/29/15,0
4/30/15,0