datetime,solar_po
7/3/14 0:00,0
7/3/14 1:00,0
7/3/14 2:00,0
7/3/14 3:00,0
7/3/14 4:00,0.00659
7/3/14 5:00,0.24202
7/3/14 6:00,0.30708
7/3/14 7:00,0.20575
7/3/14 8:00,0.45009
7/3/14 9:00,0.64949
7/3/14 10:00,0.67239
7/3/14 11:00,0.54813
7/3/14 12:00,0.08371
7/3/14 13:00,0.06596
7/3/14 14:00,0.13128
7/3/14 15:00,0.03785
7/3/14 16:00,0
7/3/14 17:00,0
7/3/14 18:00,0
7/3/14 19:00,0
7/3/14 20:00,0
7/3/14 21:00,0
7/3/14 22:00,0
7/3/14 23:00,0
7/4/14 0:00,0
7/4/14 1:00,0
7/4/14 2:00,0
7/4/14 3:00,0
7/4/14 4:00,0.08246
7/4/14 5:00,0.30151
7/4/14 6:00,0.46854
7/4/14 7:00,0.59934
7/4/14 8:00,0.67621
7/4/14 9:00,0.70354
7/4/14 10:00,0.6782
7/4/14 11:00,0.59575
7/4/14 12:00,0.39231
7/4/14 13:00,0.06978
7/4/14 14:00,0.0963
7/4/14 15:00,0.02321
7/4/14 16:00,0
7/4/14 17:00,0
7/4/14 18:00,0
7/4/14 19:00,0
7/4/14 20:00,0
7/4/14 21:00,0
7/4/14 22:00,0
7/4/14 23:00,0
7/5/14 0:00,0
7/5/14 1:00,0
7/5/14 2:00,0
7/5/14 3:00,0
7/5/14 4:00,0.11929
7/5/14 5:00,0.311
7/5/14 6:00,0.45073
7/5/14 7:00,0.56266
7/5/14 8:00,0.65467
7/5/14 9:00,0.69134
7/5/14 10:00,0.65378
7/5/14 11:00,0.35372
7/5/14 12:00,0.08359
7/5/14 13:00,0.21404
7/5/14 14:00,0.12044
7/5/14 15:00,0.03168
7/5/14 16:00,0
7/5/14 17:00,0
7/5/14 18:00,0
7/5/14 19:00,0
7/5/14 20:00,0
7/5/14 21:00,0
7/5/14 22:00,0
7/5/14 23:00,0
12/3/14 0:00,0
12/3/14 1:00,0
12/3/14 2:00,0
12/3/14 3:00,0
12/3/14 4:00,0
12/3/14 5:00,0
12/3/14 6:00,0
12/3/14 7:00,0.76383
12/3/14 8:00,0.81926
12/3/14 9:00,0.82438
12/3/14 10:00,0.77775
12/3/14 11:00,0.67186
12/3/14 12:00,0.51918
12/3/14 13:00,0
12/3/14 14:00,0
12/3/14 15:00,0
12/3/14 16:00,0
12/3/14 17:00,0
12/3/14 18:00,0
12/3/14 19:00,0
12/3/14 20:00,0
12/3/14 21:00,0
12/3/14 22:00,0
12/3/14 23:00,0
12/4/14 0:00,0
12/4/14 1:00,0
12/4/14 2:00,0
12/4/14 3:00,0
12/4/14 4:00,0.17164
12/4/14 5:00,0.44606
12/4/14 6:00,0.62986
12/4/14 7:00,0.75671
12/4/14 8:00,0.81554
12/4/14 9:00,0.82082
12/4/14 10:00,0.76872
12/4/14 11:00,0.66804
12/4/14 12:00,0.51387
12/4/14 13:00,0.31255
12/4/14 14:00,0.08233
12/4/14 15:00,0
12/4/14 16:00,0
12/4/14 17:00,0
12/4/14 18:00,0
12/4/14 19:00,0
12/4/14 20:00,0
12/4/14 21:00,0
12/4/14 22:00,0
12/4/14 23:00,0
12/5/14 0:00,0
12/5/14 1:00,0
12/5/14 2:00,0
12/5/14 3:00,0
12/5/14 4:00,0.1763
12/5/14 5:00,0.44275
12/5/14 6:00,0.61074
12/5/14 7:00,0.72866
12/5/14 8:00,0.78419
12/5/14 9:00,0.7843
12/5/14 10:00,0.73681
12/5/14 11:00,0.64316
12/5/14 12:00,0.50268
12/5/14 13:00,0.30501
12/5/14 14:00,0.08344
12/5/14 15:00,0
12/5/14 16:00,0
12/5/14 17:00,0
12/5/14 18:00,0
12/5/14 19:00,0
12/5/14 20:00,0
12/5/14 21:00,0
12/5/14 22:00,0
12/5/14 23:00,0
4/3/15 0:00,0
4/3/15 1:00,0
4/3/15 2:00,0
4/3/15 3:00,0
4/3/15 4:00,0.12836
4/3/15 5:00,0.38364
4/3/15 6:00,0.58013
4/3/15 7:00,0.71619
4/3/15 8:00,0.79488
4/3/15 9:00,0.80868
4/3/15 10:00,0.76415
4/3/15 11:00,0.66917
4/3/15 12:00,0.51182
4/3/15 13:00,0.34286
4/3/15 14:00,0.13092
4/3/15 15:00,0.01833
4/3/15 16:00,0
4/3/15 17:00,0
4/3/15 18:00,0
4/3/15 19:00,0
4/3/15 20:00,0
4/3/15 21:00,0
4/3/15 22:00,0
4/3/15 23:00,0
4/4/15 0:00,0
4/4/15 1:00,0
4/4/15 2:00,0
4/4/15 3:00,0
4/4/15 4:00,0.10258
4/4/15 5:00,0.35122
4/4/15 6:00,0.54692
4/4/15 7:00,0.68938
4/4/15 8:00,0.76026
4/4/15 9:00,0.77595
4/4/15 10:00,0.73103
4/4/15 11:00,0.54264
4/4/15 12:00,0.50114
4/4/15 13:00,0.32447
4/4/15 14:00,0.13235
4/4/15 15:00,0.01695
4/4/15 16:00,0
4/4/15 17:00,0
4/4/15 18:00,0
4/4/15 19:00,0
4/4/15 20:00,0
4/4/15 21:00,0
4/4/15 22:00,0
4/4/15 23:00,0
4/5/15 0:00,0
4/5/15 1:00,0
4/5/15 2:00,0
4/5/15 3:00,0
4/5/15 4:00,0.05091
4/5/15 5:00,0.28492
4/5/15 6:00,0.47694
4/5/15 7:00,0.58502
4/5/15 8:00,0.66358
4/5/15 9:00,0.69387
4/5/15 10:00,0.69719
4/5/15 11:00,0.60921
4/5/15 12:00,0.46355
4/5/15 13:00,0.30938
4/5/15 14:00,0.13043
4/5/15 15:00,0.01316
4/5/15 16:00,0
4/5/15 17:00,0
4/5/15 18:00,0
4/5/15 19:00,0
4/5/15 20:00,0
4/5/15 21:00,0
4/5/15 22:00,0
4/5/15 23:00,0